id,id_android,speed,time,distance,rating,rating_bus,rating_weather,car_or_bus,linha
1,0,19.21058562,0.138048889,2.652,3,0,0,1,
2,0,30.84822911,0.171484722,5.29,3,0,0,1,
3,1,13.56010094,0.067698611,0.918,3,0,0,2,
4,1,19.76667903,0.389544444,7.7,3,0,0,2,
8,0,25.80740092,0.154800556,3.995,2,0,0,1,
10,2,1.346913324,0.006681944,0.009,2,0,0,1,
11,3,36.8507874,0.228000556,8.402,3,0,0,1,
12,1,17.40513129,0.038781667,0.675,3,0,0,2,
13,1,15.39543614,0.526844444,8.111,3,0,0,2,
14,1,8.902729438,0.003032778,0.027,2,0,0,2,
16,3,15.04134802,0.217866111,3.277,3,0,0,1,
17,3,14.44009812,0.268142222,3.872,3,0,0,1,
18,1,16.35673255,0.0770325,1.26,2,0,0,2,
19,1,17.54279995,0.333869167,5.857,2,0,0,2,
20,4,9.451815572,0.276772222,2.616,2,0,0,1,
21,4,9.451815572,0.276772222,2.616,2,0,0,1,
22,4,16.26350395,0.450948333,7.334,2,0,0,1,
23,4,21.22359443,0.289724722,6.149,3,0,0,1,
24,4,19.42365454,0.236567222,4.595,2,0,0,2,
25,4,20.79962914,0.425440278,8.849,3,0,0,2,
26,4,8.724372417,1.942947778,16.951,1,0,0,2,
27,4,8.724372417,1.942947778,16.951,1,0,0,2,
28,3,8.686137642,0.502409722,4.364,3,0,0,1,
30,3,54.99594732,1.014074722,55.77,3,0,0,1,
31,3,54.99594732,1.014074722,55.77,3,0,0,1,
33,1,12.61104481,0.579095556,7.303,2,0,0,2,
34,3,14.5342872,0.079054444,1.149,3,0,0,1,
35,3,10.28822667,0.318422222,3.276,3,0,0,1,
36,3,18.32818914,0.130945833,2.4,3,0,0,1,
37,1,17.17763502,0.166088056,2.853,3,0,0,1,
38,1,17.09782337,0.133233333,2.278,3,0,0,1,
39,1,32.52070212,0.203716389,6.625,3,0,0,1,
40,1,19.93480987,0.329122778,6.561,3,0,0,1,
41,1,21.51380177,0.6572525,14.14,2,0,0,1,
42,1,27.52577026,0.292380556,8.048,3,0,0,1,
43,1,28.10452068,0.276574722,7.773,3,0,0,1,
44,3,22.3224625,0.082517778,1.842,3,0,0,1,
45,3,22.3224625,0.082517778,1.842,3,0,0,1,
46,3,32.377304,0.166196667,5.381,3,0,0,1,
47,1,22.37792452,0.3471725,7.769,2,0,0,1,
48,1,24.90825587,0.264851944,6.597,2,0,0,1,
49,5,37.14090173,0.500849444,18.602,3,0,0,2,
50,5,37.14090173,0.500849444,18.602,3,0,0,2,
51,2,72.92675452,0.009063889,0.661,1,0,0,2,
54,1,0.066375353,0.015065833,0.001,2,0,0,1,
55,1,83.32813506,0.083717222,6.976,3,0,0,1,
56,1,83.32813506,0.083717222,6.976,3,0,0,1,
58,6,96.20602882,0.350695278,33.739,2,0,0,2,
61,1,3.237674761,0.0101925,0.033,2,0,0,2,
63,1,0.582100412,0.003435833,0.002,2,0,0,2,
65,1,1.386837881,0.004326389,0.006,2,0,0,2,
67,1,0.180865138,0.033173889,0.006,2,0,0,2,
70,1,0.187306515,0.032033056,0.006,2,0,0,2,
71,1,2.740351678,0.003649167,0.01,2,0,0,2,
78,1,1.551771914,0.009021944,0.014,2,0,0,2,
99,1,0.891614215,0.032525278,0.029,2,0,0,2,
128,1,1.261974464,0.133124722,0.168,2,0,0,2,
131,7,19.83347205,0.509290556,10.101,3,0,0,1,
132,7,16.89342147,0.563710556,9.523,3,0,0,1,
133,7,20.58270232,0.493181111,10.151,3,0,0,1,
134,8,0.307454686,0.458604167,0.141,2,0,0,1,
135,8,0.307454686,0.458604167,0.141,2,0,0,1,
136,9,21.67174372,0.248941667,5.395,3,0,0,1,
137,9,21.67174372,0.248941667,5.395,3,0,0,1,
138,9,33.20117798,0.104604722,3.473,3,0,0,1,
139,9,33.20117798,0.104604722,3.473,3,0,0,1,
140,9,26.89558923,0.230483889,6.199,3,0,0,1,
141,9,26.89558923,0.230483889,6.199,3,0,0,1,
142,9,31.08533133,0.240402778,7.473,3,0,0,1,
143,9,31.08533133,0.240402778,7.473,3,0,0,1,
145,8,0.461929548,0.114736111,0.053,2,0,0,1,
146,8,0.777134962,0.019301667,0.015,2,0,0,1,
147,8,1.283183696,0.355366111,0.456,2,0,0,1,
148,8,1.487691127,0.004705278,0.007,2,0,0,1,
149,8,23.05119172,0.318378333,7.339,3,0,0,1,
150,7,21.23918019,0.4751125,10.091,3,0,0,1,
151,7,21.30082717,0.443175278,9.44,3,0,0,1,
153,7,24.43059351,0.416649722,10.179,3,0,0,1,
155,1,0.637205735,0.004708056,0.003,2,0,0,2,
156,3,17.92777132,0.021251944,0.381,3,0,0,1,
157,10,0.196122416,0.086680556,0.017,1,0,0,2,
158,10,0.035839261,0.055804722,0.002,1,0,0,2,
159,1,1.033987554,0.002901389,0.003,3,0,0,2,
171,1,8.985647923,0.004006389,0.036,1,3,1,2,008 - SANTA TEREZA B INDUSTRIA
173,1,0.727684347,0.013742222,0.01,3,0,0,1,carro
177,1,3.456442425,0.004339722,0.015,3,1,1,2,040 - MARCOS FREIRE II DIA 
179,1,1.580680571,0.005061111,0.008,3,1,2,2,008 - SANTA TEREZA B INDUSTRIA
180,1,0.254912374,0.0235375,0.006,2,0,0,1,carro
190,1,0.91954023,0.002175,0.002,2,0,0,1,carro
205,1,1.022908897,0.007820833,0.008,3,2,1,2,409 - RIOMAR DIA 
206,1,0.060122249,0.016632778,0.001,3,0,0,1,carro
207,1,0.066936716,0.104576389,0.007,3,0,0,1,carro
208,1,13.46879853,0.294978056,3.973,3,0,0,1,carro
209,10,0.12591842,0.262074444,0.033,2,0,0,1,carro
210,10,23.78487675,0.266513889,6.339,1,2,2,2,051 - ATALAIA CENTRO 
248,10,24.00300442,0.288463889,6.924,3,1,2,2,051 - ATALAIA CENTRO 
32446,10,21.19549333,0.310773611,6.587,3,2,2,2,051 - ATALAIA CENTRO 
32447,10,21.19549333,0.310773611,6.587,3,2,2,2,051 - ATALAIA CENTRO 
37945,10,20.37024689,0.391600556,7.977,3,1,2,2,051 - ATALAIA CENTRO 
37949,11,2.878008729,0.012856111,0.037,1,2,2,2,007 - FERNANDO COLLOR ATALAIA 
37950,10,18.79359543,0.12616,2.371,3,1,2,2,100 1 - CIRCULAR SHOPPINGS 
37951,10,18.79359543,0.12616,2.371,3,1,2,2,100 1 - CIRCULAR SHOPPINGS 
37953,10,14.90039185,0.462269722,6.888,3,1,2,2,715 - TIJUQUINHA  DES MAYNARD
37954,10,14.90039185,0.462269722,6.888,3,1,2,2,715 - TIJUQUINHA  DES MAYNARD
